61217.830012	 450059942.512	   1.000	1864
61217.830013	 450059944.610	   1.000	1864
61217.830014	 450059946.568	   1.000	1864
61217.830016	 450059948.394	   1.000	1864
61217.830017	 450059950.095	   1.000	1864
61217.830018	 450059951.679	   1.000	1864
61217.830020	 450059953.153	   1.000	1864
61217.830021	 450059954.527	   1.000	1864
61217.830022	 450059955.806	   1.000	1864
61217.830024	 450059957.000	   1.000	1864
61217.830025	 450059958.115	   1.000	1864
61217.830026	 450059959.159	   1.000	1864
61217.830028	 450059960.141	   1.000	1864
61217.830029	 450059961.068	   1.000	1864
61217.830030	 450059961.947	   1.000	1864
61217.830032	 450059962.787	   1.000	1864
61217.830033	 450059963.595	   1.000	1864
61217.830034	 450059964.378	   1.000	1864
61217.830036	 450059965.146	   1.000	1864
61217.830037	 450059965.904	   1.000	1864
61217.830039	 450059966.662	   1.000	1864
61217.830040	 450059967.426	   1.000	1864
61217.830041	 450059968.205	   1.000	1864
61217.830043	 450059969.006	   1.000	1864
61217.830044	 450059969.837	   1.000	1864
61217.830045	 450059970.706	   1.000	1864
61217.830047	 450059971.504	   1.000	1864
61217.830048	 450059972.913	   1.000	1864
61217.830049	 450059972.589	   1.000	1864
61217.830051	 450059979.771	   1.000	1864
61217.830052	 450059985.009	   1.000	1864
61217.830053	 450059989.870	   1.000	1864
61217.830055	 450059991.188	   1.000	1864
61217.830056	 450059990.273	   1.000	1864
61217.830057	 450059991.605	   1.000	1864
61217.830059	 450059990.250	   1.000	1864
61217.830060	 450059987.719	   1.000	1864
61217.830061	 450059986.374	   1.000	1864
61217.830063	 450059989.167	   1.000	1864
61217.830064	 450059987.245	   1.000	1864
61217.830066	 450059987.702	   1.000	1864
61217.830067	 450059987.851	   1.000	1864
61217.830068	 450059982.014	   1.000	1864
61217.830070	 450059976.878	   1.000	1864
61217.830071	 450059972.177	   1.000	1864
61217.830072	 450059975.567	   1.000	1864
61217.830074	 450059975.802	   1.000	1864
61217.830075	 450059975.053	   1.000	1864
61217.830076	 450059974.353	   1.000	1864
61217.830078	 450059973.437	   1.000	1864
61217.830079	 450059973.907	   1.000	1864
61217.830080	 450059973.170	   1.000	1864
61217.830082	 450059972.534	   1.000	1864
61217.830083	 450059973.547	   1.000	1864
61217.830084	 450059976.899	   1.000	1864
61217.830086	 450059976.597	   1.000	1864
61217.830087	 450059972.189	   1.000	1864
61217.830088	 450059967.092	   1.000	1864
61217.830090	 450059961.287	   1.000	1864
61217.830091	 450059964.914	   1.000	1864
61217.830092	 450059967.959	   1.000	1864
61217.830094	 450059968.938	   1.000	1864
61217.830095	 450059968.944	   1.000	1864
61217.830097	 450059967.149	   1.000	1864
61217.830098	 450059968.310	   1.000	1864
61217.830099	 450059969.835	   1.000	1864
61217.830101	 450059971.509	   1.000	1864
61217.830102	 450059970.985	   1.000	1864
61217.830103	 450059968.482	   1.000	1864
61217.830105	 450059970.865	   1.000	1864
61217.830106	 450059972.961	   1.000	1864
61217.830107	 450059973.234	   1.000	1864
61217.830109	 450059971.726	   1.000	1864
61217.830110	 450059967.580	   1.000	1864
61217.830111	 450059971.977	   1.000	1864
61217.830113	 450059978.127	   1.000	1864
61217.830114	 450059981.999	   1.000	1864
61217.830115	 450059983.126	   1.000	1864
61217.830117	 450059981.805	   1.000	1864
61217.830118	 450059979.520	   1.000	1864
61217.830119	 450059970.227	   1.000	1864
61217.830121	 450059962.021	   1.000	1864
61217.830122	 450059958.259	   1.000	1864
61217.830123	 450059957.651	   1.000	1864
61217.830125	 450059959.141	   1.000	1864
61217.830126	 450059957.803	   1.000	1864
61217.830128	 450059957.060	   1.000	1864
61217.830129	 450059958.469	   1.000	1864
61217.830130	 450059957.330	   1.000	1864
61217.830132	 450059950.840	   1.000	1864
61217.830133	 450059942.423	   1.000	1864
61217.830134	 450059934.391	   1.000	1864
61217.830136	 450059926.972	   1.000	1864
61217.830137	 450059927.344	   1.000	1864
61217.830138	 450059928.322	   1.000	1864
61217.830140	 450059930.168	   1.000	1864
61217.830141	 450059930.898	   1.000	1864
61217.830142	 450059931.141	   1.000	1864
61217.830144	 450059932.427	   1.000	1864
61217.830145	 450059934.736	   1.000	1864
61217.830146	 450059936.766	   1.000	1864
61217.830148	 450059938.927	   1.000	1864
61217.830149	 450059942.877	   1.000	1864
61217.830150	 450059943.866	   1.000	1864
61217.830152	 450059944.492	   1.000	1864
61217.830153	 450059946.043	   1.000	1864
61217.830155	 450059947.221	   1.000	1864
61217.830156	 450059951.435	   1.000	1864
61217.830157	 450059954.009	   1.000	1864
61217.830159	 450059952.000	   1.000	1864
61217.830160	 450059949.292	   1.000	1864
61217.830161	 450059949.039	   1.000	1864
61217.830163	 450059948.635	   1.000	1864
61217.830164	 450059947.235	   1.000	1864
61217.830165	 450059950.031	   1.000	1864
61217.830167	 450059953.095	   1.000	1864
61217.830168	 450059959.199	   1.000	1864
61217.830169	 450059958.921	   1.000	1864
61217.830171	 450059957.925	   1.000	1864
61217.830172	 450059959.249	   1.000	1864
61217.830173	 450059958.960	   1.000	1864
61217.830175	 450059958.726	   1.000	1864
61217.830176	 450059959.363	   1.000	1864
61217.830177	 450059960.830	   1.000	1864
61217.830179	 450059964.638	   1.000	1864
61217.830180	 450059968.259	   1.000	1864
61217.830181	 450059966.704	   1.000	1864
61217.830183	 450059966.724	   1.000	1864
61217.830184	 450059964.779	   1.000	1864
61217.830186	 450059965.971	   1.000	1864
61217.830187	 450059970.327	   1.000	1864
61217.830188	 450059975.739	   1.000	1864
61217.830190	 450059976.085	   1.000	1864
61217.830191	 450059973.993	   1.000	1864
61217.830192	 450059973.449	   1.000	1864
61217.830194	 450059971.605	   1.000	1864
61217.830195	 450059970.576	   1.000	1864
61217.830196	 450059964.760	   1.000	1864
61217.830198	 450059958.238	   1.000	1864
61217.830199	 450059954.381	   1.000	1864
61217.830200	 450059955.046	   1.000	1864
61217.830202	 450059956.544	   1.000	1864
61217.830203	 450059954.416	   1.000	1864
61217.830204	 450059952.514	   1.000	1864
61217.830206	 450059952.285	   1.000	1864
61217.830207	 450059957.163	   1.000	1864
61217.830208	 450059967.812	   1.000	1864
61217.830210	 450059975.234	   1.000	1864
61217.830211	 450059980.729	   1.000	1864
61217.830212	 450059983.961	   1.000	1864
61217.830214	 450059987.546	   1.000	1864
61217.830215	 450059990.434	   1.000	1864
61217.830217	 450059994.305	   1.000	1864
61217.830218	 450059996.955	   1.000	1864
61217.830219	 450059999.468	   1.000	1864
61217.830221	 450060001.035	   1.000	1864
61217.830222	 450059999.550	   1.000	1864
61217.830223	 450059997.387	   1.000	1864
61217.830225	 450059991.989	   1.000	1864
61217.830226	 450059985.687	   1.000	1864
61217.830227	 450059983.889	   1.000	1864
61217.830229	 450059979.139	   1.000	1864
61217.830230	 450059974.867	   1.000	1864
61217.830231	 450059970.642	   1.000	1864
61217.830233	 450059965.863	   1.000	1864
61217.830234	 450059960.969	   1.000	1864
61217.830235	 450059954.426	   1.000	1864
61217.830237	 450059944.429	   1.000	1864
